bed rooms,baths,square feet,address,price
2,1,1200,"3815 S Langley Avenue 301 Chicago, IL 60653",225000
2,2,1700,"517 W 127TH Street Chicago, IL 60628",219000
1,1,800,"922 W AINSLIE Street 2N Chicago, IL 60640",210000
3,1,1585,"9252 S Laflin Street Chicago, IL 60620",195800
3,1,1089,"8455 S Seeley Avenue Chicago, IL 60620",175000
6,3,2000,"7549 S Perry Avenue Chicago, IL 60620",175000
1,1,750,"5348 N Cumberland Avenue 307-2 Chicago, IL 60656",155000
2,1,900,"7441 W Fullerton Avenue 1N Elmwood Park, IL 60707",155000
3,1,988,"9236 S PARNELL Avenue Chicago, IL 60620",129000
2,1,960,"7643 S Ada Street Chicago, IL 60620",124900
5,2,1900,"11215 S Longwood Drive Chicago, IL 60643",110000
3,1,1070,"10225 S Oglesby Avenue Chicago, IL 60617",65000
1,1,650,"4300 W Ford City Drive A808 Chicago, IL 60652",35000
6,4,4840,"1647 N Wolcott Avenue Chicago, IL 60622",1975000
5,3,5200,"4535 N Wolcott Avenue Chicago, IL 60640",1250000
3,1,1000,"8158 S Scottsdale Avenue Chicago, IL 60652",268888
2,1,1000,"4900 N Marine Drive 802 Chicago, IL 60640",260000
3,1,1144,"3750 W 84th Street Chicago, IL 60652",315000
1,1,800,"3100 W Addison Street , 1C Chicago, IL 60618",249000
5,5,6100,"3642 N Magnolia Avenue Chicago, IL 60613",2975000
6,5,5000,"1452 W Henderson Street Chicago, IL 60657",2600000
3,4,5020,"333 W Hubbard Street 1006 Chicago, IL 60654",1975000
5,4,5032,"2055 N Orleans Street Chicago, IL 60614",1895000
5,5,4380,"2144 W Cortland Street Chicago, IL 60647",1799000
4,4,4200,"2134 W Superior Street Chicago, IL 60612",1749999
5,3,3670,"2110 W Superior Street Chicago, IL 60612",1350000
4,4,5000,"1430 N Lake Shore Drive 6 Chicago, IL 60610",1349000
4,3,3500,"2313 W MONTANA Street Chicago, IL 60647",1299999
2,2,1832,"600 N FAIRBANKS Court 3705 Chicago, IL 60611",1299000
4,3,4774,"1632 N LA SALLE Drive Chicago, IL 60614",1250000
5,5,4200,"7439 W Lunt Avenue Chicago, IL 60631",1199000
2,2,1384,"211 N Harbor Drive 1306 Chicago, IL 60601",1135000
4,3,2781,"400 S Green Street 305 Chicago, IL 60607",1099999
4,3,3900,"4336 N Troy Street Chicago, IL 60618",1050000
3,3,2200,"1329 N Bell Avenue Chicago, IL 60622",999000
3,3,3360,"3203 S Throop Street Chicago, IL 60608",850000
4,3,2609,"3626 N CALIFORNIA Avenue Chicago, IL 60618",815000
3,2,1614,"956 N NOBLE Street 3S Chicago, IL 60622",750000
4,3,2700,"909 W ROSCOE Street 1 Chicago, IL 60657",724000
2,2,1368,"505 N McClurg Court 3005 Chicago, IL 60611",699000
3,3,1800,"1250 N PAULINA Street 3W Chicago, IL 60622",675000
3,2,1700,"812 W VAN BUREN Street 5HI Chicago, IL 60607",619900
3,3,2300,"553 W 36th Street Chicago, IL 60609",599900
2,2,1350,"6 N Michigan Avenue 601 Chicago, IL 60602",595000
3,3,1827,"5750 S Merrimac Avenue Chicago, IL 60638",550000
2,2,1293,"1760 N Wells Street 2C Chicago, IL 60614",535000
1,3,3125,"1644 N Keeler Avenue Chicago, IL 60639",485000
3,3,2356,"4138 W Crystal Street Chicago, IL 60651",475900
5,2,3125,"2411 N 79th Avenue Elmwood Park, IL 60707",459900
2,2,1000,"225 S SANGAMON Street 510 Chicago, IL 60607",449000
3,2,2400,"2500 N 74th Avenue 1N Elmwood Park, IL 60707",449000
3,3,1263,"2914 N 77th Avenue Elmwood Park, IL 60707",429000
2,2,1100,"345 W Fullerton Parkway 1706 Chicago, IL 60614",425000
2,2,1200,"1329 N Mohawk Street 3 Chicago, IL 60610",425000
4,2,1788,"4745 W Berenice Avenue Chicago, IL 60641",424900
2,2,1100,"720 N LARRABEE Street 1212 Chicago, IL 60654",399999
3,2,1060,"5921 W 64th Street Chicago, IL 60638",389900
3,1,1365,"7825 S Luella Avenue Chicago, IL 60649",385000
2,2,1200,"2915 N Clybourn Avenue 310 Chicago, IL 60618",370000
2,2,1100,"1122 N Oakley Boulevard B Chicago, IL 60622",365000
4,2,1684,"3608 W 55th Place Chicago, IL 60629",349950
4,2,1158,"2864 W 85th Street Chicago, IL 60652",329000
3,1,1108,"5736 S Meade Avenue Chicago, IL 60638",326900
2,2,1113,"8301 S Maryland Avenue Chicago, IL 60619",325000
1,1,1113,"1600 S Prairie Avenue 1110 Chicago, IL 60616",319500
3,2,1200,"10563 S Central Park Avenue Chicago, IL 60655",315000
3,2,1940,"5482 S Everett Avenue 1 Chicago, IL 60615",315000
3,2,1097,"3534 W 77th Street Chicago, IL 60652",310900
1,1,750,"1660 N LASALLE Street 4208 Chicago, IL 60614",309000
3,1,1199,"5116 S Narragansett Avenue Chicago, IL 60638",308000
3,2,2600,"11450 S Emerald Avenue Chicago, IL 60628",289000
2,2,1200,"655 W Irving Park Road 610 Chicago, IL 60613",285000
3,2,1018,"9729 S Woodlawn Avenue Chicago, IL 60628",284900
3,2,2500,"8955 S Essex Avenue Chicago, IL 60617",284900
2,1,1000,"525 W Hawthorne Place 407 Chicago, IL 60657",280000
4,2,1600,"6521 S Damen Avenue Chicago, IL 60636",279000
1,1,808,"2020 N Lincoln Park West 5E Chicago, IL 60614",274999
3,2,1732,"5406 W Adams Street Chicago, IL 60644",274900
2,2,1400,"10221 S Vernon Avenue Chicago, IL 60628",259900
2,1,977,"11625 S Kilbourn Avenue Alsip, IL 60803",249900
3,2,1400,"5436 S Indiana Avenue 3 Chicago, IL 60615",244900
1,1,800,"20 N State Street 905 Chicago, IL 60602",239000
2,2,1600,"4257 W Termunde Drive 0 Alsip, IL 60803",225000
1,1,850,"21 W Goethe Street 8A Chicago, IL 60610",212999
1,1,950,"40 E 9th Street 304 Chicago, IL 60605",199000
1,1,650,"3950 N Lake Shore Drive 1608 Chicago, IL 60613",176900
2,1,1114,"8814 S Elizabeth Street Chicago, IL 60620",149000
3,1,1071,"1503 W 114th Place Chicago, IL 60643",99000
2,1,1489,"9214 S Halsted Street B Chicago, IL 60620",89999
3,2,2100,"1212 N Lake Shore Drive Unit 21AS Chicago, IL 60610",1299000
6,4,2628,"3050 W Columbia Avenue Chicago, IL 60645",1099000
4,3,2500,"1646 W Pierce Avenue Chicago, IL 60622",875000
2,2,1200,"1555 W School Street Unit 2D Chicago, IL 60657",499000
5,4,2900,"8140 S Michigan Avenue Chicago, IL 60619",429500
3,2,1280,"9545 S. Clifton Park Ave. Evergreen Park, IL 60805",330000
1,1,906,"4250 N Marine 1306 Chicago, IL 60613",209900
1,1,800,"3900 N Lake Shore Drive Unit 23H Chicago, IL 60613",192000
4,1,3567,"6532 S Winchester Ave. Chicago, IL 60636",92000
7,7,15000,"400 W Dickens Avenue Chicago, IL 60614",15000000
7,7,12250,"209 E LAKE SHORE Drive 14 Chicago, IL 60611",9900000
5,3,7528,"229 W EUGENIE Street Chicago, IL 60614",5894400
5,4,6400,"545 W Dickens Avenue Chicago, IL 60614",3795000
6,5,6400,"4152 N GREENVIEW Avenue Chicago, IL 60613",3449000
3,3,3500,"1035 N DEARBORN Street 17 Chicago, IL 60610",2895000
4,3,3600,"1035 N DEARBORN Street 18 Chicago, IL 60610",1999500
3,2,3000,"65 W Schiller Street Chicago, IL 60610",1950000
3,3,3000,"617 W Fulton Street 4 Chicago, IL 60661",1799000
3,3,4000,"999 N Lake Shore Drive 2A Chicago, IL 60611",1500000
5,4,4100,"2456 W Byron Street Chicago, IL 60618",1449000
3,3,3200,"2954 N Gresham Avenue Chicago, IL 60618",1155000
3,3,2783,"107 S Aberdeen Street Chicago, IL 60607",1149000
4,2,2600,"1165 W Eddy Street 1W Chicago, IL 60657",1075000
3,2,2650,"25 E SUPERIOR Street 3502 Chicago, IL 60611",1050000
4,3,3250,"4441 N Ashland Avenue 301 Chicago, IL 60640",1029000
3,4,2900,"3621 N Richmond Street Chicago, IL 60618",999000
4,3,2490,"820 W Buckingham Place 3 Chicago, IL 60657",940000
3,2,2700,"1446 S Prairie Avenue Chicago, IL 60605",829000
2,2,2400,"433 N Wells Street 301 Chicago, IL 60654",799900
3,3,2000,"1344 W Madison Street 203 Chicago, IL 60607",799000
2,2,1544,"130 N GARLAND Court 1701 Chicago, IL 60602",740000
4,3,3600,"4944 W CULLOM Avenue Chicago, IL 60641",739000
3,2,2300,"1217 W Augusta Boulevard 3 Chicago, IL 60642",699900
2,2,1850,"6 N MICHIGAN Avenue 1508 Chicago, IL 60602",650000
3,2,2000,"1410 N State Street 13A Chicago, IL 60610",650000
3,2,1600,"1629 S Prairie Avenue 2605 Chicago, IL 60616",649000
3,2,1650,"1526 N La Salle Drive 3E Chicago, IL 60610",649000
5,5,3400,"1223 N Harding Avenue Chicago, IL 60651",624500
3,2,2000,"2058 N Western Avenue 201 Chicago, IL 60647",599900
2,2,1250,"1736 W Superior Street 2W Chicago, IL 60622",599500
2,2,1400,"1629 S Prairie Avenue 711 Chicago, IL 60616",599000
3,2,1680,"3111 W Jerome Street Chicago, IL 60645",599000
3,1,2142,"2031 W Touhy Avenue Chicago, IL 60645",590000
2,2,1500,"3132 N Seminary Avenue 3S Chicago, IL 60657",580000
3,2,2000,"1715 W Beach Avenue 1 Chicago, IL 60622",579000
2,2,1400,"2124 W Division Street 3 Chicago, IL 60622",529900
4,3,1660,"5220 N Larned Avenue Chicago, IL 60630",529900
2,2,1400,"1335 S Prairie 2009 Chicago, IL 60605",525000
3,2,1292,"1466 S State Street Chicago, IL 60605",519000
2,2,1175,"2 E Erie Street 3609 Chicago, IL 60611",515000
2,2,1240,"659 W Randolph Street 1616 Chicago, IL 60661",509000
2,2,1526,"130 S CANAL Street 703 Chicago, IL 60606",500000
1,1,1070,"909 W Washington Boulevard 605 Chicago, IL 60607",499000
3,1,1788,"3542 N Hermitage Avenue Chicago, IL 60657",499000
3,2,1429,"4104 N WESTERN Avenue 3S Chicago, IL 60618",480000
4,2,1188,"3229 N Oak Park Avenue Chicago, IL 60634",465000
3,2,1250,"2818 W Chicago Avenue 4 Chicago, IL 60622",465000
2,1,1310,"555 W Aldine Avenue 1 Chicago, IL 60657",450000
3,2,1600,"5634 W LELAND Avenue Chicago, IL 60630",450000
2,1,2000,"3530 N LAKE SHORE Drive 6B Chicago, IL 60657",449500
4,2,2340,"5210 S King Drive F Chicago, IL 60615",449000
2,2,1200,"2416 W Cortez Street 2 Chicago, IL 60622",445000
2,2,1227,"770 W Gladys Avenue 604 Chicago, IL 60661",443000
2,2,1120,"720 N Larrabee Street 1406 Chicago, IL 60654",429900
2,2,1435,"1120 N Lake Shore Drive 16C Chicago, IL 60611",425000
3,1,1603,"5174 N Moreland Ave Norridge, IL 60706",425000
3,1,2000,"5936 N Ozanam Avenue Chicago, IL 60631",425000
2,2,1277,"1717 S Prairie Avenue 806 Chicago, IL 60616",400000
2,2,1200,"59 E Cedar Street 1A-1B Chicago, IL 60611",399900
2,2,1100,"900 N LAKE SHORE Drive 1307 Chicago, IL 60611",399000
4,2,1987,"4900 S Laramie Avenue Chicago, IL 60638",399000
2,2,1234,"2158 W Grand Avenue 508 Chicago, IL 60612",389900
3,1,1600,"2210 W Adams Street Chicago, IL 60612",370000
2,2,1200,"1645 W OGDEN Avenue 619 Chicago, IL 60612",345000
2,2,1420,"3222 W Lemoyne Street 1E Chicago, IL 60651",339500
3,2,1600,"1151 E Hyde Park Boulevard 2D Chicago, IL 60615",339000
3,2,2500,"215 E 81st Street Chicago, IL 60619",335000
3,2,1144,"5809 W 59TH Street Chicago, IL 60638",325000
2,2,1100,"1464 S MICHIGAN Avenue 507 Chicago, IL 60605",324500
4,3,3100,"7915 S Paxton Avenue Chicago, IL 60617",319000
3,3,2475,"523 E 89th Place Chicago, IL 60619",315550
4,2,2520,"5235 S Lawndale Avenue Chicago, IL 60632",315000
3,2,1250,"6148 N Ravenswood Avenue 2 Chicago, IL 60660",299999
3,1,984,"7030 W 64th Place Chicago, IL 60638",299900
1,1,795,"565 W QUINCY Street 1304 Chicago, IL 60661",279900
3,2,956,"3730 W 82nd Street Chicago, IL 60652",275000
3,1,1300,"11551 S Justine Street Chicago, IL 60643",274875
2,2,1100,"1428 W Lunt Avenue 2N Chicago, IL 60626",259900
4,1,1576,"Chicago, IL 60644",220000
2,1,1072,"5910 S Kilbourn Avenue Chicago, IL 60629",209900
1,1,850,"3900 N Lake Shore Drive 19H Chicago, IL 60613",190000
2,1,900,"6612 W 64th Place 1B Chicago, IL 60638",189000
3,1,1040,"7654 S Damen Avenue Chicago, IL 60620",180000
2,1,1250,"6128 N Damen Avenue 3G Chicago, IL 60659",180000
2,1,1100,"5975 N ODELL Avenue 6B Chicago, IL 60631",175000
1,1,750,"1401 E 55th Street 707N Chicago, IL 60615",170000
4,1,704,"12337 S Wallace Street Chicago, IL 60628",145000
2,1,1200,"12010 S Michigan Avenue Chicago, IL 60628",139000
3,2,1600,"8353 S Hermitage Avenue Chicago, IL 60620",125000
2,1,816,"4300 W Ford City Drive 210 Chicago, IL 60652",59000
5,3,6143,"3447 W 97th Street Evergreen Park, IL 60805",849000
3,3,2347,"1353 N Artesian Avenue Unit 1 Chicago, IL 60622",550000
2,2,1200,"1901 S Calumet Avenue Unit 602 Chicago, IL 60616",434900
4,2,1584,"1232 S Kolin Avenue Chicago, IL 60623",300000
2,1,1100,"5148 N Monitor Avenue 301 Chicago, IL 60630",279000
4,2,4800,"7950 S Indiana Avenue Chicago, IL 60619",250000
1,1,525,"405 N Wabash Avenue Unit 1712 Chicago, IL 60611",219000
3,1,926,"9132 S Colfax Avenue Chicago, IL 60617",180000
5,2,1600,"10557 S. Perry Chicago, IL 60628",150000
3,2,1350,"7443 W Irving Park Road , 4W Chicago, IL 60634",359000
2,1,1450,"2735 N Kimball Avenue , 5 Chicago, IL 60647",350000
3,2,1049,"9301 S Wallace Street Chicago, IL 60620",280000
1,1,800,"7337 S South Shore Drive 408 Chicago, IL 60649",60000
3,3,2400,"10 E ONTARIO Street 5001-02 Chicago, IL 60611",1450000
4,4,3000,"5028 W Waveland Avenue Chicago, IL 60641",695000
3,3,3025,"4355 S Calumet Avenue Chicago, IL 60653",429000
2,2,1300,"1516 W 19th Street 2 Chicago, IL 60608",400000
2,2,1600,"5801 N Sheridan Road 5C Chicago, IL 60660",390000
2,2,1200,"1524 S SANGAMON Street 705 Chicago, IL 60608",369900
2,2,1200,"701 S WELLS Street 2905 Chicago, IL 60607",369000
3,2,1325,"11661 S Keeler Avenue Alsip, IL 60803",294000
1,1,900,"3600 N Lake Shore Drive 1714 Chicago, IL 60613",269900
2,2,864,"3603 W 69th Place Chicago, IL 60629",200000
1,1,906,"4250 N Marine Drive 2711 Chicago, IL 60613",199000
4,2,1700,"13831 S Michigan Avenue Riverdale, IL 60827",180000
3,1,1150,"5948 S Justine Street Chicago, IL 60636",167900
2,1,1200,"449 E OAKWOOD Boulevard 1 Chicago, IL 60653",135000
3,1,1200,"7964 S Essex Avenue Chicago, IL 60617",135000
5,4,3510,"1712 W Augusta Boulevard D Chicago, IL 60622",1600000
5,4,3100,"175 E Delaware Place 6805-6806 Chicago, IL 60611",1045000
2,2,1600,"811 S Lytle Street 510 Chicago, IL 60607",405000
3,2,1583,"8325 W Farragut Avenue Norridge, IL 60706",389900
3,2,1493,"7843 S Avalon Avenue Chicago, IL 60619",273000
3,2,1900,"7033 N Kedzie Avenue 1716 Chicago, IL 60645",249000
2,2,1600,"333 S Desplaines Street Unit 706 Chicago, IL 60661",479900
3,3,2400,"1954 N Wilmot Avenue , 2 Chicago, IL 60647",789000
3,2,1100,"5423 N Sawyer Avenue Chicago, IL 60625",659000
3,2,1700,"2153 W BELMONT Avenue 2 Chicago, IL 60618",490000
1,2,1279,"1111 S Wabash Avenue 2504 Chicago, IL 60605",435000
3,2,2000,"5028 W Ohio Street Chicago, IL 60644",399900
3,2,1700,"4537 W 129th Street Alsip, IL 60803",359900
3,2,1200,"723 W 31st Street 2 Chicago, IL 60616",359000
2,2,1890,"7755 S Calumet Avenue Chicago, IL 60619",296000
1,1,995,"10 E Ontario Street 3502 Chicago, IL 60611",289500
1,1,1200,"822 N California Avenue 1 Chicago, IL 60622",250000
4,2,1350,"10540 S Green Street Chicago, IL 60643",225000
4,2,1642,"8615 S Cregier Avenue Chicago, IL 60617",199900
2,1,942,"554 W 87th Street Chicago, IL 60620",169900
2,1,1100,"4800 S Lake Park Avenue Unit 705A 705A Chicago, IL 60615",35000
3,2,2100,"950 W Huron Street 602 Chicago, IL 60642",850000
4,3,2800,"1011 E 62nd Street Chicago, IL 60637",679000
3,2,1900,"2401 W Winnemac Avenue 3E Chicago, IL 60625",675000
3,2,1283,"2495 N Milwaukee Avenue 3N Chicago, IL 60647",649900
4,1,2240,"5215 S Blackstone Avenue Chicago, IL 60615",610000
2,2,1148,"155 N HARBOR Drive 4702 Chicago, IL 60601",569500
2,3,1282,"4730 N Maria Court Chicago, IL 60656",535000
3,2,1050,"2407 N 77TH Avenue Elmwood Park, IL 60707",449000
3,2,1331,"4805 S Lockwood Avenue Chicago, IL 60638",430000
3,2,1800,"843 N Drake Avenue Chicago, IL 60651",429900
2,2,1285,"330 N Jefferson Street 1701 Chicago, IL 60661",425000
1,1,950,"1200 W Monroe Street 812 Chicago, IL 60607",389900
2,2,1213,"3963 W Belmont Avenue 107 Chicago, IL 60618",385000
3,1,1100,"6132 N Nagle Avenue Chicago, IL 60646",375000
4,2,1281,"6124 S Kedvale Avenue Chicago, IL 60629",375000
3,2,1164,"7844 S Trumbull Avenue Chicago, IL 60652",359900
3,2,2352,"3510 W 85th Street Chicago, IL 60652",354900
2,2,1200,"1000 N Lake Shore Drive 408 Chicago, IL 60611",349000
3,4,1724,"8449 S Paulina Street Chicago, IL 60620",339900
2,2,2000,"6226 W Grace Street Chicago, IL 60634",320000
3,1,1239,"6323 S La Crosse Avenue Chicago, IL 60638",309999
4,2,1695,"2915 N 73rd Avenue Elmwood Park, IL 60707",309900
2,2,1350,"2503 W Harrison Street 4 Chicago, IL 60612",299250
5,2,2051,"1329 W 71st Street Chicago, IL 60636",265000
1,1,705,"3550 N Lake Shore Drive 1822 Chicago, IL 60657",248500
4,3,1600,"56 W 76th Street Chicago, IL 60620",245000
2,1,700,"3435 W Berteau Avenue 1C Chicago, IL 60618",235000
5,3,1900,"8454 S Muskegon Avenue Chicago, IL 60617",229747
3,2,1355,"163 E 122nd Place Chicago, IL 60628",194000
1,1,700,"2149 W Argyle Street 2 Chicago, IL 60625",189500
4,1,1265,"1506 W 72nd Place Chicago, IL 60636",184900
3,1,1389,"14425 S Emerald Avenue Riverdale, IL 60827",125000
4,2,1326,"2620 E 91st Street Chicago, IL 60617",124900
3,4,3030,"1040 N Lake Shore Drive Unit 27A Chicago, IL 60611",1487000
2,2,1250,"1360 N Sandburg Terrace Unit 2111C Chicago, IL 60610",374900
3,1,1319,"3101 W 101st Street Evergreen Park, IL 60805",339900
4,2,1750,"1728 W 90th Place Chicago, IL 60620",289900
1,1,990,"1729 W Erie Street Unit 1N Chicago, IL 60622",254999
2,1,800,"14536 Muskegon Avenue Unit 3D Burnham, IL 60633",80000
3,2,1350,"7443 W Irving Park Road , 4W Chicago, IL 60634",345000
5,5,3500,"1300 N Lake Shore Drive 22CD Chicago, IL 60610",1500000
4,2,3000,"540 N Hermitage Avenue Chicago, IL 60622",949000
6,4,4230,"3327 W Glenlake Avenue Chicago, IL 60659",899900
3,3,1950,"2202 N LAKEWOOD Avenue Chicago, IL 60614",869900
5,4,3620,"2615 W 102nd Place Chicago, IL 60655",765000
4,3,3500,"10230 S Leavitt Street Chicago, IL 60643",733000
4,3,2800,"5924 W Eddy Street Chicago, IL 60634",529900
2,2,1250,"175 E Delaware Place 4811 Chicago, IL 60611",499900
2,2,1365,"210 S DESPLAINES Street 312 Chicago, IL 60661",455000
1,1,1175,"110 N Peoria Street 302 Chicago, IL 60607",409000
5,3,1745,"3649 N Sayre Avenue Chicago, IL 60634",400000
3,2,1850,"3862 S Lake Park Avenue 3N Chicago, IL 60653",390000
2,2,1350,"2754 N Hampden Court 708 Chicago, IL 60614",379000
1,1,1093,"10 E ONTARIO Street 4101 Chicago, IL 60611",375000
3,3,3246,"8151 S Woodlawn Avenue Chicago, IL 60619",329999
2,1,1205,"4229 N Bernard Street Chicago, IL 60618",325000
2,1,1250,"899 S Plymouth Court 509 Chicago, IL 60605",325000
3,1,1200,"8448 S Kostner Avenue Chicago, IL 60652",309900
5,3,2400,"8307 S Morgan Street Chicago, IL 60620",307900
6,3,3356,"4943 S Vincennes Avenue Chicago, IL 60615",299000
3,2,900,"231 W 18th Street 5B Chicago, IL 60616",295000
2,1,650,"1449 N Ashland Avenue 2F Chicago, IL 60622",285000
3,2,920,"5755 S Damen Avenue Chicago, IL 60636",279000
2,1,680,"11000 S Springfield Avenue Chicago, IL 60655",278000
3,1,1121,"11743 S Lavergne Avenue Alsip, IL 60803",269900
3,2,1200,"5224 S Michigan Avenue 3 Chicago, IL 60615",260000
1,1,840,"125 S Jefferson Street 2206 Chicago, IL 60661",249900
2,2,1400,"9349 S Woodlawn Avenue Chicago, IL 60619",249900
3,3,1950,"9254 S Aberdeen Street Chicago, IL 60620",249000
3,1,1057,"11114 S Trumbull Avenue Chicago, IL 60655",235500
2,1,1000,"5464 W Higgins Avenue 3N Chicago, IL 60630",219900
2,1,1442,"5515 S University Avenue 302 Chicago, IL 60637",209900
3,1,768,"10149 S Crandon Avenue Chicago, IL 60617",205000
1,1,800,"880 N LAKE SHORE Drive 22D Chicago, IL 60611",199995
4,2,1378,"13905 S Wabash Avenue Riverdale, IL 60827",199000
2,1,1000,"7314 S Whipple Street Chicago, IL 60629",190000
1,1,800,"6301 N Sheridan Road 24G Chicago, IL 60660",158000
3,2,1500,"1219 W 74th Street Chicago, IL 60636",150000
1,1,800,"5505 N Winthrop Avenue 2-I Chicago, IL 60640",140000
8,3,2016,"5959 W Ohio Street Chicago, IL 60644",140000
2,2,1000,"2809 W Washington Boulevard 201 Chicago, IL 60612",135000
5,2,2753,"5920 N Elston Avenue Chicago, IL 60646",850000
2,2,1450,"505 N Lake Shore 4706 Chicago, IL 60611",685000
4,2,1305,"1019 W 110th Street Chicago, IL 60643",339000
1,1,802,"850 N Dewitt Place Unit 4G Chicago, IL 60611",275000
1,1,791,"310 S Michigan Avenue , 1206 Chicago, IL 60604",280000
4,2,1500,"10501 S Morgan Street Chicago, IL 60643",180000
4,4,3547,"363 E Wacker Drive 2503 Chicago, IL 60601",3178000
4,3,4000,"33 E Bellevue Place 3W Chicago, IL 60611",2099999
2,2,2207,"14 W Superior Street 5502 Chicago, IL 60654",2050000
5,3,4350,"1619 N BELL Avenue Chicago, IL 60647",1950000
3,3,2900,"27 W 15th Street Chicago, IL 60605",1175000
2,2,1408,"211 N Harbor Drive 1803 Chicago, IL 60601",900000
2,2,1420,"1629 S PRAIRIE Avenue 2211 Chicago, IL 60616",610000
2,1,1450,"407 N Elizabeth Street 202 Chicago, IL 60642",529999
2,2,1547,"1530 S State Street 14S Chicago, IL 60605",475000
2,2,1200,"480 N Mcclurg Court 901 Chicago, IL 60611",429000
2,2,1318,"2419 W FOSTER Avenue 2W Chicago, IL 60625",399000
2,2,1300,"1305 S Michigan Avenue 705 Chicago, IL 60605",390000
4,2,1463,"10308 S Sawyer Avenue Chicago, IL 60655",389000
3,2,2500,"538 N Leamington Avenue Chicago, IL 60644",385900
4,1,1119,"5047 N KENMORE Avenue D Chicago, IL 60640",365000
1,1,900,"2600 N Southport Avenue 212 Chicago, IL 60614",349900
3,1,1153,"6954 S Prairie Avenue Chicago, IL 60637",324900
3,1,1800,"8740 S Richmond Avenue Evergreen Park, IL 60805",299900
2,2,1622,"8927 S Cornell Avenue Chicago, IL 60617",294500
3,2,1200,"2423 S Wentworth Avenue 3C Chicago, IL 60616",285000
4,2,1544,"8836 S Carpenter Street Chicago, IL 60620",280000
3,1,1432,"8548 S aberdeen Street Chicago, IL 60620",230000
6,2,2000,"3853 W 60th Place Chicago, IL 60629",225000
2,1,840,"3504 W 107th Street Chicago, IL 60655",219900
2,1,1350,"1626 W Highland Avenue 2W Chicago, IL 60660",215000
1,1,980,"5455 N Sheridan Road 1415 Chicago, IL 60640",214900
3,2,1177,"7705 S Damen Avenue Chicago, IL 60620",179873
2,1,1094,"9146 S Williams Avenue Chicago, IL 60619",159000
2,2,1100,"5900 S Prairie Avenue 2 Chicago, IL 60637",150000
2,1,900,"6970 N Wolcott Avenue G Chicago, IL 60626",124900
3,1,1152,"14505 S Wabash Avenue Riverdale, IL 60827",119900
4,1,1512,"4815 W Huron Street Chicago, IL 60644",106000
5,3,3700,"5942 N Kolmar Avenue Chicago, IL 60646",1199500
3,1,1430,"4321 N Melvina Avenue Chicago, IL 60634",364900
3,2,1200,"9246 S Perry Avenue Chicago, IL 60620",225000
2,1,1057,"7007 S East End Avenue Unit C Chicago, IL 60649",200000
2,1,1057,"7007 S East End Avenue Unit B Chicago, IL 60649",200000
3,1,1287,"5412 S Hermitage Avenue Chicago, IL 60609",79900
3,3,3431,"451 E Grand Avenue 4905 Chicago, IL 60611",2995000
5,6,4916,"52 E CEDAR Street Chicago, IL 60611",1999995
3,3,2800,"1040 N Lake Shore Drive 15A Chicago, IL 60611",1498000
2,2,1384,"211 N Harbor Drive 906 Chicago, IL 60601",1110000
3,3,3800,"2222 W Potomac Avenue Chicago, IL 60622",1100000
3,2,2364,"100 E Huron Street 2904 Chicago, IL 60611",1050000
2,2,1651,"1244 W Monroe Street 6 Chicago, IL 60607",624995
1,1,1200,"1208 S Federal Street A Chicago, IL 60605",479000
2,2,1700,"3448 N Monticello Avenue Chicago, IL 60618",475000
3,1,1548,"2237 S Stewart Avenue Chicago, IL 60616",430000
4,2,1559,"5729 N Menard Avenue Chicago, IL 60646",430000
3,2,1480,"1101 S State Street 1300 Chicago, IL 60605",399000
2,2,1450,"4755 N Kilbourn Avenue 3-D Chicago, IL 60630",349000
4,3,2950,"418 W Englewood Avenue Chicago, IL 60621",289000
3,2,1288,"8722 S Constance Avenue Chicago, IL 60617",265000
1,1,648,"20 E Goethe Street 603 Chicago, IL 60610",229000
3,1,1100,"9214 S Woodlawn Avenue Chicago, IL 60619",205000
1,1,941,"801 S PLYMOUTH Court 718 Chicago, IL 60605",200000
5,2,2005,"11322 S Lowe Avenue Chicago, IL 60628",130000
3,1,1500,"10016 S Yale Avenue Chicago, IL 60628",67000
3,1,1048,"1519 S 58th Avenue Cicero, IL 60804",300000
3,4,3200,"550 N Saint Clair 2602 Chicago, IL 60611",1299900
5,3,2730,"3025 N Lowell Avenue Chicago, IL 60641",550000
5,2,1128,"6554 W 60th Place Chicago, IL 60638",418000
4,2,2131,"11456 S Emerald Avenue Chicago, IL 60628",279900
3,1,1019,"300 W 42nd Place Chicago, IL 60609",169999
2,1,1024,"5343 N Nashville Avenue Chicago, IL 60656",455000
1,2,930,"303 W Ohio Street , 2805 Chicago, IL 60654",350000
5,4,8000,"1736 N Wood Street Chicago, IL 60622",5395000
4,3,3557,"21 N May Street 402 Chicago, IL 60607",2399000
2,3,3400,"1600 S Prairie Avenue 2404 Chicago, IL 60616",2250000
4,3,3500,"1307 W Schubert Avenue Chicago, IL 60614",1525000
3,2,2518,"1456 N Wieland Street P1 Chicago, IL 60610",999000
3,2,2400,"1514 W Thomas Street PH Chicago, IL 60642",987000
3,3,2000,"2035 N Leavitt Street 2 Chicago, IL 60647",899000
3,2,2000,"1124 W Fry Street 1 Chicago, IL 60642",755000
3,3,3000,"3920 N Lake Shore Drive 3S Chicago, IL 60613",699000
2,2,1342,"60 E Monroe Street 3308 Chicago, IL 60603",680000
