bed rooms,baths,square feet,address,price
5,3,3350,"3900 N Kedvale Avenue Chicago, IL 60641",1275000
3,2,2750,"1304 N Sutton Place Chicago, IL 60610",1199000
2,2,2058,"132 E Delaware Place 5404 Chicago, IL 60611",1190000
4,3,3000,"10 E SCHILLER Street 1E Chicago, IL 60610",895000
3,3,2200,"1806 W Belmont Avenue 1 Chicago, IL 60657",859900
2,2,1600,"1019 W Monroe Street 4E Chicago, IL 60607",774900
2,2,1600,"1725 W Division Street 201 Chicago, IL 60622",725000
2,2,2221,"1322 S Wabash Avenue PH6 Chicago, IL 60605",689000
2,2,1200,"3323 N Seminary Avenue 3S Chicago, IL 60657",675000
3,2,2800,"1516 W 19th Street 1 Chicago, IL 60608",675000
3,2,2600,"124 W Polk Street 901 Chicago, IL 60605",665000
3,2,1550,"200 E Delaware Place 33F Chicago, IL 60611",635000
5,2,2400,"1750 W Columbia Avenue Chicago, IL 60626",624900
3,2,2000,"4355 S Lake Park Avenue 2N Chicago, IL 60653",599000
3,2,2028,"9344 S Hamilton Avenue Chicago, IL 60643",599000
3,2,2400,"5215 W Strong Street Chicago, IL 60630",578900
3,3,2015,"777 N Michigan Avenue 2600-2602 Chicago, IL 60611",575000
2,2,1108,"659 W Randolph Street 1014 Chicago, IL 60661",515000
3,3,2100,"4825 N Natoma Avenue Chicago, IL 60657",514900
2,2,1224,"1629 S PRAIRIE Avenue 2509 Chicago, IL 60616",500000
2,2,1300,"2618 W Fullerton Avenue 2C Chicago, IL 60647",495000
4,3,1650,"4846 N MOODY Avenue Chicago, IL 60630",489000
4,3,2106,"2607 N 74TH Avenue Elmwood Park, IL 60707",479999
3,2,1600,"5 E 14TH Place 504 Chicago, IL 60605",475000
3,3,2381,"6955 W Barry Avenue Chicago, IL 60634",470000
3,1,1300,"4952 N Pontiac Avenue Norridge, IL 60706",469900
2,2,1104,"7312 W Cullom Avenue Norridge, IL 60706",465000
3,2,2102,"4230 N Ozark Avenue Norridge, IL 60706",440000
2,1,1050,"1228 W Monroe Street 309 Chicago, IL 60607",419000
3,2,1350,"2910 W NORTH Avenue 4 Chicago, IL 60647",399999
2,2,1085,"1841 S Calumet Avenue 1308 Chicago, IL 60616",399000
3,3,1226,"3724 W 105th Street Chicago, IL 60655",375000
1,1,728,"303 W Ohio Street 2704 Chicago, IL 60654",350000
4,1,2000,"7336 S Constance Avenue Chicago, IL 60649",350000
1,1,850,"1355 N Sandburg Terrace 2108D Chicago, IL 60610",308500
4,3,1212,"10821 S Eberhart Avenue Chicago, IL 60628",305000
3,1,1350,"5406 N Mulligan Avenue Chicago, IL 60630",300000
2,2,1400,"6450 W Berteau Avenue 211 Chicago, IL 60634",299999
1,1,1000,"1820 N Spaulding Avenue 102 Chicago, IL 60647",299900
3,3,1757,"8738 S Wabash Avenue Chicago, IL 60619",299900
2,1,1500,"4949 N Kedvale Avenue 2S Chicago, IL 60630",290000
2,2,1260,"740 S Federal Street 410 Chicago, IL 60605",289000
3,2,1744,"6152 S Austin Avenue Chicago, IL 60638",283500
3,2,1276,"10947 S Normal Avenue Chicago, IL 60628",274900
3,1,1104,"3716 W 77th Place Chicago, IL 60652",269900
1,1,750,"1529 S State Street 6F Chicago, IL 60605",265000
3,2,1338,"4145 S Wabash Avenue 1N Chicago, IL 60653",264900
3,1,840,"2507 N 79TH Avenue Elmwood Park, IL 60707",244900
3,2,1300,"12432 S Emerald Avenue Chicago, IL 60628",239900
2,1,986,"11608 S Troy Drive Merrionette Park, IL 60803",234900
